,FirstOrderDate,marketing_channel,First_Ord_Value,SecondOrdValue,D2_D1,customer_count
202,2023-10-25,MyRewards,585.5384615384615,,,13
203,2023-10-08,Others,587.6385542168674,668.4,-40.0,498
204,2023-05-16,Facebook,671.8064066852368,701.7647058823529,-127.58823529411765,711
205,2024-01-14,Direct/SEO,632.2802419354839,681.0588235294117,-23.941176470588236,960
206,2023-04-26,Facebook,682.9596899224806,678.875,-111.5625,640
207,2023-11-09,Facebook,702.7185039370079,663.2,-32.4,507
208,2023-07-17,Facebook,797.8284023668639,498.4,-49.2,169
209,2024-01-11,Facebook,611.0753424657535,,,146
210,2022-09-14,Direct/SEO,493.28671820098384,743.873417721519,-170.56962025316454,1404
211,2023-01-06,Google,569.7118644067797,643.6666666666666,-37.0,58
212,2022-12-26,Others,428.2269938650307,601.0,-131.0,161
213,2023-08-21,Facebook,556.2537764350453,795.5555555555555,-72.11111111111111,326
214,2022-09-15,Direct/SEO,475.0530451866405,677.5882352941177,-139.88235294117646,507
215,2023-12-10,Facebook,634.6470588235294,,,119
216,2024-01-02,Direct/SEO,637.489988221437,735.4285714285714,-33.42857142857143,830
217,2023-08-06,Facebook,572.4832134292566,690.5,-93.8125,822
218,2022-09-17,MyRewards,371.95454545454544,645.0,-106.0,88
219,2022-11-18,Direct/SEO,574.8104125736738,733.7209302325581,-190.1627906976744,997
220,2023-12-20,Google,665.7565217391304,821.0,-32.5,114
221,2023-02-10,Direct/SEO,640.9694364851958,1216.0144927536232,-135.231884057971,1013
222,2023-12-03,Facebook,731.041736227045,548.1666666666666,-20.666666666666668,592
223,2023-01-20,Direct/SEO,601.4645669291339,605.1304347826087,-165.58695652173913,997
224,2022-09-17,Google,351.5,224.0,-74.0,70
225,2022-11-04,Facebook,500.72566371681415,811.6486486486486,-187.43243243243242,664
226,2023-01-18,Others,547.1325301204819,494.5,-11.0,83
227,2023-11-29,Facebook,630.4873646209386,443.6666666666667,-51.0,275
228,2022-11-06,Google,365.84705882352944,690.2,-186.8,83
229,2024-02-14,Facebook,695.5307917888563,,,340
230,2023-07-26,Others,792.3432432432433,428.4,-98.2,366
231,2024-02-03,Facebook,724.4840294840295,,,403
232,2023-11-23,Google,696.6040268456376,372.5,-87.5,293
233,2022-12-06,Facebook,452.27647058823527,725.625,-251.875,169
234,2022-09-28,Google,307.980198019802,821.0,-230.0,100
235,2024-02-23,Others,693.4626506024097,,,414
236,2023-10-08,Affiliate,848.5526315789474,,,76
237,2023-07-24,Facebook,790.9529616724739,620.3809523809524,-60.333333333333336,571
